STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,WT09,WT01,WT06,WT05,WT02,WT04,WT08,WT03
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160308,0.00,0.0,0.0,36,48,25,4.5,190,180,15.0,19.9,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160309,0.00,0.0,0.0,48,66,40,7.8,230,230,13.0,19.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160310,0.71,0.0,0.0,57,66,41,6.7,90,260,17.0,21.9,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160311,0.13,0.0,0.0,44,55,35,7.6,340,340,17.0,21.9,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160312,0.00,0.0,0.0,39,49,27,7.8,180,200,21.9,28.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160313,0.00,0.0,0.0,50,60,39,12.1,320,350,25.1,32.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160314,0.03,0.0,0.0,38,40,30,11.0,100,90,18.1,23.9,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160315,0.82,0.0,0.0,39,42,38,12.5,60,70,19.9,27.1,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160316,0.08,0.0,0.0,44,53,39,9.6,60,20,19.9,23.9,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160317,0.16,0.0,0.0,47,55,38,6.0,300,300,18.1,28.0,-9999,1,-9999,-9999,-9999,-9999,-9999,1
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160318,0.01,0.0,0.0,44,52,31,10.7,310,310,23.0,29.1,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160319,0.00,0.0,0.0,32,42,23,9.2,350,10,16.1,21.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160320,0.00,0.0,0.0,28,35,20,5.8,160,150,13.0,18.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160321,0.31,3.1,6.3,31,40,26,9.6,310,280,18.1,23.0,-9999,1,-9999,-9999,-9999,-9999,1,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160322,0.00,2.0,0.0,35,46,27,11.4,290,300,23.9,31.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160323,0.00,0.0,0.0,44,52,37,8.1,350,350,17.0,21.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160324,0.06,0.0,0.3,33,37,28,11.6,70,80,16.1,23.0,-9999,1,1,-9999,-9999,-9999,1,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160325,0.16,0.0,0.0,30,36,26,5.8,40,30,13.0,16.1,-9999,1,1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160326,0.00,0.0,0.0,36,42,32,6.7,90,40,13.0,17.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160327,0.00,0.0,0.0,36,43,31,3.8,140,150,15.0,19.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160328,0.92,0.0,0.0,38,43,33,7.2,70,60,15.0,19.9,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
